trackId,trackName,artistName,trackViewUrl,sellerUrl,averageUserRating,userRatingCount,currentVersionReleaseDate
6448931157,Club de Benefícios do Bairro,CCU,https://apps.apple.com/es/app/club-de-benef%C3%ADcios-do-bairro/id6448931157?uo=4,https://clubcombourbano.com/,0,0,2024-03-03T14:26:43Z
6566192515,Club de Beneficios del Grupo R,Corporacion de Servicios GR S.A.,https://apps.apple.com/es/app/club-de-beneficios-del-grupo-r/id6566192515?uo=4,,0,0,2025-02-04T13:39:43Z
6757368661,Puntiz: Tu tarjeta de puntos,Global Connect Group LLC,https://apps.apple.com/es/app/puntiz-tu-tarjeta-de-puntos/id6757368661?uo=4,https://puntiz.com,0,0,2026-01-27T00:05:04Z
6473737412,MultiPuntos CUSCATLAN,UpperClub Inc,https://apps.apple.com/es/app/multipuntos-cuscatlan/id6473737412?uo=4,https://www.multipuntoscuscatlan.com,1,2,2025-08-29T19:43:58Z
6752959010,Socios: Fidelity App,Ignacio Beltran Mata,https://apps.apple.com/es/app/socios-fidelity-app/id6752959010?uo=4,https://sociosapp.es,5,3,2026-02-02T19:50:40Z
6751712065,Socios Business: Fidelity App,Ignacio Beltran Mata,https://apps.apple.com/es/app/socios-business-fidelity-app/id6751712065?uo=4,https://sociosapp.es,5,3,2026-02-03T16:01:59Z
6759077994,Got Loyal,Javea Nexus S.L.,https://apps.apple.com/es/app/got-loyal/id6759077994?uo=4,,5,1,2026-02-28T07:56:39Z
6636486327,TimeWise: recompensa tu rutina,Maciej Opalko,https://apps.apple.com/es/app/timewise-recompensa-tu-rutina/id6636486327?uo=4,,0,0,2025-04-23T22:26:48Z
6760023125,Tarjetas Fidelidad y Descuento,SEVELINA LLP,https://apps.apple.com/es/app/tarjetas-fidelidad-y-descuento/id6760023125?uo=4,https://sevelina.com,0,0,2026-03-05T04:26:12Z
6754827318,Magno Rewards,CRISTIAN MOISE BRUNONE CORDER,https://apps.apple.com/es/app/magno-rewards/id6754827318?uo=4,https://www.instagram.com/franquicias_magno/,0,0,2026-03-05T01:32:34Z
6755490169,iQR Py,Catatrepa S.A.,https://apps.apple.com/es/app/iqr-py/id6755490169?uo=4,https://app.iqr.com.py,0,0,2026-02-27T21:35:15Z
6755145391,Escáner de recibos - Expensee,晗 畅,https://apps.apple.com/es/app/esc%C3%A1ner-de-recibos-expensee/id6755145391?uo=4,https://niwi.mvfm.uno,0,0,2025-11-17T04:51:54Z
6759303909,Jar of Stars: Classroom,MATTHEW RICHARD GIBSON,https://apps.apple.com/es/app/jar-of-stars-classroom/id6759303909?uo=4,https://jarofstarsclassroom.unboundedsoftware.com,0,0,2026-02-19T07:33:15Z
6467106657,Florida Valverde,Jose Miguel Lopez-Ybarra Munoz,https://apps.apple.com/es/app/florida-valverde/id6467106657?uo=4,,5,3,2024-04-27T14:40:41Z
6745518416,Restaurante Café de Tudela 2,Applicats S.L.,https://apps.apple.com/es/app/restaurante-caf%C3%A9-de-tudela-2/id6745518416?uo=4,,0,0,2025-05-07T13:22:27Z
1597940413,Luigi Heladeria,Guillermo Picchio,https://apps.apple.com/es/app/luigi-heladeria/id1597940413?uo=4,,0,0,2025-07-07T14:35:10Z
6445893798,Helados Daniel,Cuponeala SRL,https://apps.apple.com/es/app/helados-daniel/id6445893798?uo=4,,5,16,2025-04-09T07:50:19Z
1538484988,Chinin,Jph Lions,https://apps.apple.com/es/app/chinin/id1538484988?uo=4,http://jphlions.com,0,0,2020-12-03T08:00:00Z
457865170,Barcelona Turismo Offline,eTips LTD,https://apps.apple.com/es/app/barcelona-turismo-offline/id457865170?uo=4,http://www.etips.com,4.8,10,2022-07-13T13:02:05Z
6448239731,Around Us: Viaje & Maps,Travel Maps,https://apps.apple.com/es/app/around-us-viaje-maps/id6448239731?uo=4,https://es.aroundus.com,4.53846,13,2026-02-23T22:39:13Z
1578889827,TracknTake: Productos Locales,TracknTake SL,https://apps.apple.com/es/app/trackntake-productos-locales/id1578889827?uo=4,https://www.instagram.com/trackntake/,4.59999,15,2026-03-03T10:15:19Z
1440005347,Local.one – Más oportunidad,ALZURA AG,https://apps.apple.com/es/app/local-one-m%C3%A1s-oportunidad/id1440005347?uo=4,https://local.alzura.com/es,5,3,2025-10-13T08:20:09Z
6743956359,BrandSnap - Go European,WE TOGETHER GmbH,https://apps.apple.com/es/app/brandsnap-go-european/id6743956359?uo=4,,3.75,4,2025-08-23T02:03:41Z
6755035141,Cupón - Descuentos Locales,海泉 刘,https://apps.apple.com/es/app/cup%C3%B3n-descuentos-locales/id6755035141?uo=4,https://fowk.veejvv.uno,0,0,2025-11-12T05:44:21Z
6448169947,HelpMyFood – Ofertas locales,HELPMYFOOD,https://apps.apple.com/es/app/helpmyfood-ofertas-locales/id6448169947?uo=4,https://www.helpmyfood.com,0,0,2025-05-18T05:42:22Z
6752825973,kontu,Alfonso Lasa Aguirre,https://apps.apple.com/es/app/kontu/id6752825973?uo=4,https://www.kontu-app.com/es,0,0,2025-10-06T19:01:14Z
6758107845,SoyAragón,ADRIAN ALONSO SANCHO,https://apps.apple.com/es/app/soyarag%C3%B3n/id6758107845?uo=4,https://soyaragon.com/,0,0,2026-02-25T21:42:38Z
6748833666,Youcard,Francisco Navarro Aguilar,https://apps.apple.com/es/app/youcard/id6748833666?uo=4,,0,0,2025-12-22T11:13:15Z
6474302658,Da túa man - Commerce inside,Diputación de Pontevedra,https://apps.apple.com/es/app/da-t%C3%BAa-man-commerce-inside/id6474302658?uo=4,https://atuaman.es,0,0,2024-05-24T07:51:53Z
6478812952,Qlikeit,Qlikeit LLC,https://apps.apple.com/es/app/qlikeit/id6478812952?uo=4,https://qlikeit.com,0,0,2026-01-29T21:19:19Z
6477192677,Gift: Plataforma digital,David Bueno,https://apps.apple.com/es/app/gift-plataforma-digital/id6477192677?uo=4,,0,0,2024-08-23T20:02:56Z
6747355778,FlyerView,ROLY STUDIO LLC,https://apps.apple.com/es/app/flyerview/id6747355778?uo=4,,0,0,2026-01-25T22:27:58Z
